timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561372137144,8394,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-8,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,8394,0,9
1561372136992,8784,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-5,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,8784,0,9
1561372138717,7542,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-13,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,7542,0,2
1561372137894,8442,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-17,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,8442,0,5
1561372140027,6320,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-19,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,6320,0,16
1561372137036,9408,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-16,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,9408,0,2
1561372137910,8587,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-14,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,8587,0,5
1561372138794,7774,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-20,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,7774,0,2
1561372138545,9073,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-11,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,9073,0,2
1561372142249,5431,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-4,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,5430,0,2
1561372142298,5638,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-9,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,5638,0,3
1561372142352,5805,Llamada 2,200,OK,jp@gc - Ultimate Thread Group 1-2,,true,,3269,2758,20,20,http://svtarqfrt3pu:3181/api/v2.0/auth/oauth2/introspect,5805,0,1
